Luhya_Loogoli,Kiswahili
"A kuheresia e khavi, A khuheresia ekilavi",Alitenda nini? Alitufia.
Ga khola si? Ga khufwila.,Yu wapi? Tunamtafuta
A li hena? Khumweyigine,Anatusubiri mbinguni.
A khulindira mwigulu.,"Kuna malaika anatayarisha, makao yenu mbinguni:"
"Se Ii nengelosi yelilisia, bulili bwene mwigulu:","Alikufa kwa ajili ya dhambi zetu,"
"Gehaana ni gerwa khulwefwe,",Alikuwa mwana wa Mungu.
Ga va Mwana wa Nyasaye.,"Aliyejitolea kutufia, uje umuabudu"
"We haane khu Muyeti yuno, wiche omusigamire","Tumejua uzuri wenyewe,"
"0 khu maniye bulahi bwene,",Atuponye.
A kha khu honia nesisa sie.,Tusimamapo mbele
Lwa ku singira imbiri,"Za Yesu Mnazareti,"
"Wa Yesu Munazarene,",Tunashangaa kwa sababu anafurahi
Ku genya kigira a yanza,Watenda dhambi watesekao;
Avoni va divanga;,Furaha kuu
Buyanzi bunene,Tuliyopewa na Mungu
Bwa Nyasaye ya ku ha:,Tunashangaa kwa sababu
Ku genya kigira,Anatupenda hivyo.
A ku yanza kuli ndi.,Kwa sababu ananiombea
Kigira inze ya saala,Si kwa mapenzi yangu.
Bulaliri bwange tawe.?,"Hakujifikiria,"
"Si yeganagana Mwene,",Alilia kwa ajili yangu.
Ya lira kigira inze.,Tutakapo kutana mbinguni
Lwa ku la vugana mwigulu,Tutaona uso wake;
Ku la lola mmoni mwimwe;,Na sote tutafurahia
Na voosi ku la sangala,Kwa sababu ya furaha yake.
Kigira buyanzi bwibwe.,Ni nani anayetaka kusaidia watu
Wina wenyanga kuhonya vandu,"Ni Yesu,Ni Yesu."
"Ni Yesu,Ni Yesu.",Tena ni nani anayependa wote?
Kandi ni wina a yanza voosi?,"Ni Yesu,Ni Yesu."
"Ni Yesu, Ni Yesu.","Mwokozi Yesu anapenda watu,"
"Mwami Yesu a yanzi vandu,",Anawalinda siku zote.
A va linda madiku goosi.,Leo rafiki wa watu ni nani?
Lero mulina wa vandu wina?,"Ni Yesu,Ni Yesu."
"Ni Yesu, Ni Yesu.",Ni nani anayependa watu wote?
Wina a yanza avandi voosi?,"Ni Yesu,Ni Yesu."
"Ni Yesu, Ni Yesu.",Ni nani aliyetengeneza njia yao?
Wina wa lomba inzira yavo?,"Ni Yesu,Ni Yesu."
"Ni Y esu, Ni Yesu.",Ni nani aliyekufa msalabani?
Wina wa kudza ku musalaba??,"Ni Yesu,Ni Yesu."
"Ni Yesu, Ni Yesu.",Ni nani aliyeshinda kifo?
Wina ya guuta likudza lyosi?,"Ni Yesu,Ni Yesu."
"Ni Yesu, Ni Yesu.",Ni nani anayengoja mbingu?
Wina u linda Mwigulu nunu?,"Ni Yesu,Ni Yesu."
"Ni Yesu, Ni Yesu.?",Ni nani aliyekuja duniani tena?
Wina a ladza mirova kandi?,"Ni Yesu,Ni Yesu."
"Ni Yesu,Ni Yesu.",ALIYETULIPIA
MTUNGIRI,Aliyetulipia deni
Mutungiri wetu,Tumtukuze Yesu.
Kwidzominye Yesu.,"Tumwamini leo,"
"Ku suuvire nunu,",Ametulipia;
U tungiye kwinye;,Aliyetulipia yupo
Mutungri ave?,Yesu aliyetulipia yupo
Yesu Mutungiri ave?,Yesu aliyetulipia ametuokoa
Yesu Mutungiri u ku sooye,Ametuokoa
U ku sooye.,Sote tuamini
Kwosi ku suuvire,Rehema zake.
Tsimbibagi titsye.,Anatuita leo
Akulanga nunu,Tuitike haraka.
Ku bugiri bwangu.,Tulikuwa tukiteseka;
Kwa Ii ni ku diva;,"Aliyetulipia deni,"
"Mutungiri wetu,","Yesu alituokoa,"
"Yesu ya ku soola,",Na tumepona leo.
Na ku honi nunu.,Sisi sote tunataka
Kwinye kwosi kwenya,Rehema zake;
Tsimbabasi tsitsye;,Tuwe vizuri
Ku ve nobulahi,Nyumbani kwa Mungu.
Hango ha Nyasaye.,HUZUNI
ALELUYA UMUMONYI,Yesu Mwana wa Mungu
Yesu Mwana Wa Nyasaye,Alisumbuliwa sana.
Va kupidzwa muno.,Sisi tusiteseke:
Kwinye ku ta diva mba:,Haleluya! Mwokozi
Aleluya! Umuhonyi,Walimshinda na kumcheka
"Va mu lega ni va museka,",Alibeba dhambi zangu.
Ya ngingira bwoni bwane.,Ili nisiteseke:
Inze ni nta diva mba:,Haleluya! Mwokozi!
Aleluya! Umuhonyi!,Sisi watenda dhambi waovu
Kwinye voni vadamano,"Naye Mwana wa Mungu,"
"Naye Mwana wa Nyasaye,",Sisi si wazuri;
Si ku li valahi mba;,Haleluya! Mwokozi!
Aleluya! Umuhonyi!,Walimsulubisha atufie
Va mmbamba a kudzere,"Dhambi zetu msalabani,"
"Bwoni bwetu kumsalaba,",Sisi hatukuweza;
Kwinye si kwa nyala mba;,Haleluya! Mwokozi!
Aleluya! Umuhonyi!,"Atafika tumtukuze,"
"A la duuka kwidzominya,","Sisi tutamtukuza,"
"Kwinye ku la mwidzominya,",Tusiwache tena:
Ku ta leka kandi mba:,Haleluya! Mwokozi!
Aleluya! Umuhonyi!,MWOKOZI WANGU
MUKHONYI WANJE,"Ni Yesu mponyaji wako Aliyekufia,"
"Nii Yesu Mkhonyi wowo  Nda khukhudzera ive,",Ili kusafisha dhambi zako zote
"Nyenyanga khurhulidza  Ubwoni bwobwo bwosi,",Alimwaga damu yake kwa sababu ya upendo wake kwetu.
Nda rhonya masahi ganje ndi  Shigira nda khu yanza.,Alimwaga damu yake kwa sababu ya upendo wake kwetu.
Nda rhonya masahi ganje ndi  Shigira nda khu yanza.,Nyumba ya Mungu
Inyumba ya Nyasaye,"Ndiyo nyumba yangu,"
"Y li inyumba yanje,","Nitawacha nyumbani penyewe na kushuka chini,"
"Nda Iekha hango zana  Khuduukha hasi hanu,",Nitawacha nyumba yangu kwa sababu nakupenda.
Nda lekha ingo yanje ndi  Shigira nda khu yanza.,Nitawacha nyumba yangu kwa sababu nakupenda.
Nda lekha ingo yanje ndi  Shigira nda khu yanza.,"Niliteseka sana kwa ajili ya dhambi zako,"
"Nda khupa shivi muno  Shigira bwoni bwobwo,",Nataka utubu
Nyenyanga wiganire,"Utoke pabaya,"
"U rhule hadamanu,",Nilibeba dhambi zako kwa sababu nakupenda.
Nda khu gingira bwoni bwo  Shigira nda khu yanza.,Nilibeba dhambi zako kwa sababu nakupenda.
Nda khu gingira bwoni bwo  Shigira nda khu yanza.,Nimeleta ukombozi
Nda lerha bunanuli,"Kwa watu wa duniani, nilileta msamaha kwa wanaonililia,"
"Khu vandu vomshvala,  Nda lerha busamehe  Khu vandu vianra,",Msaada umepokea kwa sababu nakupenda.
Bukhonyi bu lerherwi ndi!  Shigira nda khu yanza.,Msaada umepokea kwa sababu nakupenda.
Bukhonyi bu lerherwi ndi  Shigira nda khu yanza.,NIONAPO MSALABA
LWA INZE NDOLA UMUSALABA,Nionapo msalaba
Lwa inze ndola umusalaba,Alipotufia Yesu.
Ha Yesu Kristo ya khu khudera.,Mali yangu ni bure.
Burhugi bwange ni vindu vutswa.,Nami nisiyezaa maua.
Na inze ndaama burhengu bwange.,"Unisaidie. Yesu, nijazwe na furaha"
"U khonye. Yesu, khutsantaslikha",Katika kifo cha Bwana
Mu likhudza lyo Mwami wange:,Vyote tulipewa.
Ivindu vyosi ni vya nkhayerwa.,Nilivyopata kupitia damu yake.
Vya nda rhulidzwa mmasahi gege.,Nami nina ukweli
"Na inze ndi noburhugi pei,",Kumpa Yesu zawadi;
Khumuha Yesu shihaanwa shyange;,"Furaha yake ni kubwa,"
"Buyanzi bwebwe bu virha ndina,",Yataka mimi na moyo wangu.
Bwenyanga inze nomwoyo gwange.,DAMU
GA LI MASAHI,Haikuwa damu
Shi ga li masahi,"Ya wanyama wote,"
"Getsinyama tsyoi,","Inayoweza kuosha dhambi,"
"Ga nyala khwogidza bwoni,",Na kuziondoa.
Nokhuburhulidza.,Damu ya Yesu
Masahi ga Yesu,Inatakasa
Ga nyala khwogidza,"Dhambi zangu zote,"
"Ubwoni bwange bwogi bei,",Na kusafisha moyo
Nokhulavidza myoyo.,Yeye ni zawadi:
Yeu ni shihaanwa:,Nzuri kabisa
shulahi munono,"Ya siri kuu,"
"Shya sira ligali muno,",Vipaji vya wengine.
Vihaanwa vyavandi.,Mwokozi mzuri
Mukhonyi mulahi,"Naona mzigo,"
"Ndolanga musigo,","Ulioubeba msalabani,"
"Gwa u gingi khu musala,",Zlikuwa dhambi zangu
Gwa li bwoni bwange.,Nakuamini
Nda suuvira ive,Vile nimekiri
"Lwa mmali khweyama,",Natubu dhambi
Na nzeganira ubwoni,Nisamehewe.
Nda samefwa bwangu.,MWANA WA MUNGU
MWANA WA NYASAYE,Ni nani aliye Mwokozi?
Ni wi u li Musoli?,"Mwana wa Mungu mpendwa,"
"Mwana wa Nyasaye Muderwa,",Ni nani awapenda wote?
Ni wi u yanza voosi??,Mwana wa Mungu mpendwa.
Mwana wa Nyasaye Muderwa.,Vizuri sana
Bulahi munono,Furaha ya Bwana:
Buyanzi bwa Nyasaye:,Alitoa mtoto wake mpendwa
Ya haana musoli,Mwana wa Mungu mpendwa.
Mwana wa Nyaye Muderwa.,Ni nani aliyekufia?
Ni wi wa khudzera ive?,"Mwana wa Mungu mpendwa,"
"Mwana ws Nyasaye Muderwa,",Ni nani aliyekukubali?
Ni wi wa vushira ive?,Mwana wa Mungu mpendwa.
Mwana wa Nyasaye Muderwa.,Ni nani anayekuona?
Ni wi u lolanga ive?,Mwana wa Mungu mpendwa.
Mwana wa Nyasaye Muderwa;,Ni nani anayekulinda?
Ni wi u lindanga ive?,Mwana wa Mungu mpendwa.
Mwana wa Nyasaye Muderwa.,Ni nani atarejea?
Ni wi udzanga khandi?,"Mwana wa Mungu mpendwa,"
"Mwana wa Nyasaye Muderwa,","Anyakue walio wake,"
"A vugule vandu ye,",Mwana wa Mungu mpendwa.
Mwana wa Nyaaye Muderwa.,REHEMA
TSIMBABASI,"Mtazame Yesu wa Kalvari,"
"Hena ku Yesu ha Kalvary,",Alipomwaga damu
Ha ya tsuka masahi gege,"Rehema zake ni kuu,"
"Tsimbabasi tsitsye tsinene,",Zashinda dhambi zetu zote.
Tsivita bwoni bwetu bwosi.,"Rehema zake Bwana,"
"Tsimbabasi tsya Nyasaye,","Zitatakasa mioyo yetu,"
"Tsi la lavidza myoyo gyetu,","Rehema za Bwana,"
"Tsmbabasi tsya Nyasaye,",Zashinda dhambi zetu zote.
Tsivita bwoni bwetu bwosi.,"Dhambi zinazoshinda wote,"
"Bwoni bwa guuta vandu voosi,",Nani awezaye kuziosha?
Bwaha a nyala kubutwulidza?,Tazama! Damu ya mwokozi
Henza! masahi go muhonnyi,Ina uwezo kusafisha kabisa.
Ga nyala kwogidza vosidza.,"Tunashangazwa na rehema hizi,"
"Ku genya ku tsimbabasi yitsi,",Zatolewa bure kwa waaminio.
Tsi hebwa vutswa ku va suuviri.,Nani anayetaka kukombolewa?
Bwaha wenyanga kubohololwa?,"Omba  kwake Yesu, Atulipiaye."
"Saala ku Yesu, Mutungiri.",MSALABANI ALIFIA
KU MUSALABA YA KUKUDZIRA,Sitaaibika katika Bwana
Si mbeye soni ku Mwami,Na msalabani;
Naho kumusula;,Nitamsifu
Nyenyanga lidzominya lye,Na ukuu wake.
Nobukumi bwibwe.,Msalabani alitufia
Ku musalaba gwa ya kukudzira,Kuondoa maovu ya watenda dhambi
Ku twulidza tsimbi tsya voni,"Ndipo nilipopata mwanga,"
"Nilwo Iwa nda nyola bulavu,",Leo ninampenda.
Nunu mu yanzanga.,Najua jina Yesu Bwana
Manyi lyeta Yesu Mwami,Ndilo ninaloliamini
Ni lyo lya suuvira,Hawezi kuniacha.
Si a nyala kundeka inze.,Au kunisahau.
Naho ku nzivirira.,Agano hili
Lilagano lilye yili,Atatimiza.
Ala li duukidza.,Nikirejea kwake
Ni nzirana kuye mwene,Atanikubali.
Ala mbugirira.,Naye atatukuzwa
Naye ala kidzominywe,"Baba, Mwana, Roho!"
"Dada, Mwana, Roho!",Katika Jerusalemi mpya
Mu Yerusalemi Impya,Ndipo nitaishi.
Ni mwo mwa ndi menya.,MSALABANI ALIPOFIA
KHU MUSALABA KHU GA FWIRA,Musalabani alipofia.
Khu Musalaba khu ga fwira.,Mwokozi wangu alinikomboa
Muyeti wange ga njosia.,Moyo wangu ulioshwa kwa damu yake
Mwoyo gwa siwa mmavanga ge;,Uyukufu kwake
Luyali khuye,Uyukufu kwake! Uyukufu kwake!
Luyali khuye! Luyali khuye!,Moyo wangu ulioshwa kwa damu yake
Mwoyo gwo siwa mmavanga ge,Uyukufu kwake!
Luyali khuye!,"Nafurahia nilivyowacha dhambi,"
"Mbukanga lu na lekha woni,",Niishi na Yesu Bwana.
Menya na Yesu Mwami wange.,"Msalabani niliitwa,"
"Khumusalaba khu gananga,",Uyukufu kwake!
Luyali khuye!,Yeye ndiye huponya moyo:
Esevere yi wonianga mwoyo:,Nafurahia nilipoingia:
Sangalanga lu nengira mo:,Yesu  mwenyewe aliniita:
Yesu mwene niye wanjeta:,Na uwezo wake!
No wunyali we!,Alikuja kuniokoa.
Yija kwisevere yo wuyeti.,Weka moyo wako kwa Bwana;
Fuva mwoyoi gugwo khu Yesu;,Ukimkubali Yesu utasaidiwa:
Niwiyinamo ola yetwa:,Kwake utapata hifadhi!
No muhe fuma!,CHINI YA MSALABA WA YESU
HASI HO MUSALABA GWA YESU,"Chini ya msalaba, Nitasimama"
"Hasi ho musalaba, Ndenya khusinjira,",Nitaanza safari ya kuelekea kuzuri
"Nagwo lwanda mu lujendo, shinini shilahi,",Kwa kweli moyoni mwangu niweze kufurahia
"Ligali mu mwoyo gwanje ndukhe Khusangala,",Nitakiri dhambi zangu peupe.
Ndiyama Ubwoni bwanje liuva nilyakhana.,"Hapa ni pazuri sana, mwamba imara,"
"Ya ha na halahi muno, Lukaka ludinyu,",Penyewe panaonekana kuwa na furaha ya milele.
"Hazana ha lo Iekhanga, Buyanzi bwa dodo.","Jinsi Yakobo alivyoota enzi za kale,"
"Khuli Yakobo ya lola tsinyinga tsia khale,",Musalaba ni njia ya kuelekea mbinguni.
Musalaba ni i njira yokhutsia mwigulu.,"Yesu alihukumiwa msalabani,"
"Yesu khu musalaba va mukhalajira,",Alikufa kwa ajili yangu niliyekuwa nimepotea:
Ya khutsa shijira Inze wali ni ndagora:,Nashangaa sana kwa ajili ya mambo wawil;
"Ndolanga nijenya muno, Makhuwa gaviri;","Jinsi alivyonipenda, hata kabla nimjue."
"Khuli yali ni ya nyanza, Ni shiri khummanya.","Ukitaka kumwona Yesu mbinguni,"
"Wenyanga khulolana na Yesu mwigulu,",njia ni kupitia msalabani;
Injira yolujendo lwe ni khu musalaba;,"Msaidizi yu hapa, hakuna mwingine;"
"Mukhonyi a li hanu, Shihali nowundi;",Tena ana furaha pamoja na Bwana.
Khandi hali nuvuyanzi halala no Mwami.,Leo lea mara moja.
Lero lera lulala,Lea sasa analea.
Lea aleraa lero,Lile tawi moja la ndizi lililonyauka
Lirala lirala lira,Lile limeona kipaza sauti
Lira liiroli lirere,Ise
Baba,Vuza
TUPU,Baba yule
ula Baba,Ona lile tawi ndizi lililonyauka
Lola lirere lira,Alala ameona kipaza sauti
Alala uloli lirere,analea
aleraa,Tanki
Libiiba,Abaabu (Jina la mtu)
Abaabu,Anaona tanki lile.
Alolaa libiiba lira.,Yule Abaabu anaona tanki.
Abaabu ula alolaa libiiba.,Ameona lile tanki moja.
Uloli libiiba lirala lira.,Libaabu anaona baba
Libaabu alola baba,Ameona yule baba
Uloli baba ula.,Unaona lile tawi la ndizi lililonyauka
Ulolaa lirala lira,Uone kipaza sauti kimoja
Ole lirere lirala,goti
Liiru,Nzige
Lideede,Goti moja.
Liiru lirala.,Ona lile goti moja
Lola liiru lirala lira.,Luulu anaona goti.
Luulu alolaa liiru,Ameona goti moja.
Uloli liiru lira,Lea anaona lile goti.
Lea alolaa liiru lira,Ona lile goti linauma.
Lola liiru lira liiruli,Debe
Lidebe,Mugongoni
Idiidi,Chapii
Lubada,Bata
Libada,Reki
Luvivu,Baadhi yao wanasema sinia.
Avalala valola luderu.,Umeona reki ile.
Uloli luvuvi lula.,Wezi waliokota sinia moja.
Aviivi vaadola luderu lulala.,Waliona wendawazimu wao pekee
Vaalola avalalu vaavo veere,Adede anaonna chapii.
Adede alolaa lubada,Anaona ngize mmoja.
Alolaa lidede lira.,Analilia mgongoni.
Aliriraa idiidi,Chapii.
Lubada,Kwa nani?
Wavu ?,Vibaya
vuvi,Uliiba
Wiva,Kwao
Wavo,Yule wako
Wovo ula,Kwake
weve,Wajaluo wanachakura magugu kwa reki
Avavo vavivaa luvuva,Wezi huiba vipimio
Aviivi vivaa vivava,Ona reki ile.
Lola luvivu lula,Wanaona mwangaza ule.
Valolaa vulavu vula,Anaona ile sinia moja.
Alolaa luderu lulala lula,Adede anaona kwao.
Adede alolaa wavo,Ulimuona yule tena?
Walola wali ula,Uliyemuona alikuwa wa nani?
Wawalola yaali wavu?,Ona yule tuliyeona analia
Lola wali ula aliraa,Anameza kwa mpigo
Yivuvaa,Ananing?inia
Yereera,Ndio
Yee,Anafagia
yeeye,Analia
aliraa,Analea
aleraa,Mtihani mmoja
ligera lirala,Anafagia hii yako
Yeyaa iyoyo yiyi,"Ndipo, anasema atafagia hii yako"
Yee avolaa aleeya iyoyo,Ayuya ananalisha huko
Ayuya yayaa yeyo,Wanazoa hii yao.
Vayoyaa iyaavo yiyi,Wanasema wao wanazoa.
Valola yavo vayoyaa,Anachimba hii yake.
Ayavaa iyeeye yiyi,Huyu anajufunda yake.
Uyu yiivuvaa iyeeye,Umeona lile titi moja?
Uloli luveere lulala lula,Hawa ni paka wawili.
Yivi viveeye vibaga viviri,Ona Aligula na Ababu wananing?inia.
Lola Aliguula na Ababu vereraa,Wanaona panya wawili.
Vaalola vivuudu viviri.,Analilia kipaza sauti.
Aliriraa lirere,Wanaona baadhi ya sehemu za dunia.
Vaalola vivala virala,Buibui
Liguyaguyi,Ona buibui
lola liguyaguyi,Babu ananunua mbuni.
Guuga agulaa ligulugulu,Wanaiba ile yako
Viiva agogo gala,Ona ile ua
Lola lugaga lula,Wameona ile yao.
Vaaloli agaavo gala,Baadhi yao wanayaona haya
Avalala vaalola yaga,Ile ilikuwa ni yako.
Gala gali agogo,Umeona yule buibui?
Uloli liguyaguyi lira,Ananyonya
Anuunaa,Nyonya
Nuuna,Ana ananyonya.
Ana anuunaa,Ona ananyonya
Lola anuunaa,Ananyonya
Anuunaa,Yule anadaka kweli
Ula anagiraa ligali,Anaona nyonyo ya titi
Alola inuuniru yoluveere,Huyu alinyonya nyonyo.
Uyu yanuuna inuuniru,Aleyo alikunya akikwea
Aleyo yania naniina,Watoto wake wananyonya.
Avana veeve vanunaa,Aliona huyu akitumia raslimali vizuri
Yalola uyu nanonera,Ameona fungu moja.
aloli livoho lirala,Lile fungu ni dogo.
Livoho lira nirikekeke,Tayari pakiti moja ipo
Kiduuda kirala kiveeye yo,Kale katoto kao kameona fungu
Kaana kaavo kala kaaloli livoholi,Lea huyu mtoto kwanza
Kola nulera akaana yaka,Anaonal mtoto akidunda sawasawa
Alolaa kaana nekiduuda kirala,Lea mtoto vizuri kabisa.
Ulere akaana vulahi ligali,Watoto wanapeana mawe mazuri.
Avaana vahanaa magina malahi,Anaona apeane vizuri.
Alolaa ahane vulahi,Pake pako bure.
Aheehe haveeye aheere,Hapa ni kwako ama ni kwao?
Hano nahoho naho nahaavo,wale ni watoto wakarimu.
Vala navaana vahaani,Haana aliona huyu akipeana.
Haana yalola uyu nahanaa.,Aliona eneo kubwa.
Yaalola lunaalo lunene,Waambie wakife hapo.
Vavoolere vahere yahoo.,Anapeana
Ahaana,Mama
mama,Tabia
miima,Mapua
amuulu,Mama analea.
Mama aleraa,mtama
mavere,Maziwa
maveere,Mayayi
mavuyu,Kata
Kala,Katoto
akaana,Ona kale katoto kao
Lola akaana kaavo kala,ona kale katoto kanapeana kibuyu.
Lola akaana kala kahaanaa kimuga,Haka ni katoto kadogo
Kaveeye akaana kakekeke,Haka ni katoto kako
Yaka nakaana koko,Ona kana pakiti kwa mkono.
Lola akaana kaveeye nekiduuda mu mkono,Mama ni mwanamke mzuri
Mama aveeye mukali mulahi,Ana tabia nzuri.
Aveeye nemiima mirahi,Rudi umpe motto maziwa
Yirana uhe akaana maveere,Katoto kana mayayi.
Akaana kaveeye namavuyu,Katoto kanajigonga magoti.
Akaana kiiduya amalu,Mama anapika maduma vugila maganda.
Mama adekaa makaaya,Mahindi
amaduuma,Anatoroka hakika
Yiirukaa ligali,Anapika ilokauka
Adekaa amuumu,Nyanya mzuri anachuna kunde shambani.
Umukeere mulahi yahaa likuvi mu mulimi,Alitoroka akapita akicheka
Yiiruka naavita naaseka,Anatoroka hakika
Yirurukaa ligali,Hii ni taa yako ama yake?
Yiyi netaya yoyo naho yeye,Mama ana taa
Mama aveeye ne taya,Muulize akupe taa.
Muteeve akuhe itaya,Haka katoto kanatoroka.
Akaana yako kiirukaa,Nzige wanawatoroka watoto
Amadeede giirukaa avaana,Kifungu kimemaliza kamba ya ganda la ndizi
Livoho limaliye likoola,Maria anasonga ugali polepole
Maria alugaa galaha,Maragoli ameacha mkuki.
Mulogooli yaaleka litimu,Ndege analete sufi
Likolove lireta luvuva,Walipika debe nyingi
Vadeka madede na madeede,Mulingoti uko kwenye shimo.
Mulage guveeye mulirina,Taa
Itaya,Mkuki
R¡timu,Jibu haya maswali.
Tivula mateeva yaga,Chagua kasha utaje vizuri.
Tovola ma utoove vulahi,Huu ni mkuki mzuri
Yiri niritimu lirahi,Lete ile mkuki hapa
Leta litimu lira hano,Daudi yuko na mkuki.
Daudi aveeye neritimu,Ndege yule ni mnono.
Lira nelikolove linetu,Maswali haya ni ya nini?
Mateeva yaga gavoola ki?,Alilete mafuta na kiberiti.
Yaaleta maguta ne kibiriti,Labda Mafefe amezoofika maungo.
Fana mafefe yafogoya Lifedete,Anatoa ngozi.
Afuvula,Miba
mafa.,Miba iliyo na makali kama shindano.
Amafa gaveeye amugi kuli lufa,Hii inakaa kama pofu.
Yiru lufana lufulu,Hawa watoto walilete miba.
Avaana yava valeta mafa,Wameshika miba yenye makali.
Vagumiyi mafa muugi,Tuwashe moto tusonge ugali.
Kufane muliru kulugi vukima,Huyu ni Ferida na huyu ni Febe.
Uyu ni Ferida nauyu ni Febe,Sarah anamuita Susana kwa ishara.
Sara asimaa Susana,Asava anapumzika
Asava asosaa,Setsu anatupa ukuni.
Setsu asigisaa lusasu,Avasuva wanasoma vitabu
Avasuva vasomaa vitabu,Funua somo la sita
Kuunula lisoma lia sita,Abaabu analala kitandani.
Abaabu agonaa kukidali,Makasi
makasi,Musa aliona bundi akaickeka.
Musa yalola likuuli naaliseka,Makasi na saa ziko mezani
Amakasi neisa viveeye kumesa,Umewahi sikia jinsi Wamalagoli walifika Ulaya?
Wahulira kuli Avalogooli vaaduka Ivulaya ?,Walifika huko na wakafanya vizuri.
Vaaduka yo nivakola vulahi.,Adagala ni miongoni mwa wale waliofika na kujionea nchi za huko.
Adagala nomulala kuyavo vaduuka yo kulola kivala.,Walifanya mitihani jinsi walivyoweza.
Vaakola magera kuli vaalola.,Huko walifaulu katika mitihani yao.
Vaavitayo amagera gaavo,Yafaa hata nawe ufanye bidii.
Gaduukana yive ukole vulahi.,Ufanye jinsi walivyofanya wao.
Ukole kuli navo vaakola,"Je, waona kama mambo haya ni sawa?"
Ulolaa yaga gakaveeye malahi naho?,"Ndio, mambo haya ni sawa."
Yee gaveeye malahi.,"Iwapo unaona ni sawa, hata naweufanye bidii."
Nuulola nigaveeye malahi ukole vulahi,Walifika huko na kurudi huku vizuri.
Vaaduuka vulahi na viirana yinu vulahi,Tai yuko kwa hindi.
Lijikolo liveeye kuliduuma,Ita kwa ishara.
sima,Cheka
seka,Kataa
suula,Paka
siisa,Omba
soosa,Saa
saala,Soma hesabu vizuri
isa,Futa hesabu
Soma isaabu vulahi,Chukua jiwe au kijiti ulilinge.
Siisulula isaabu,"Usipomulinga, atamaliza mahindi"
Vugula ligina noho kisaala ulirase,Tai wako kwa mahindi yetu.
Nutalirasa liramala maduuma,Wanaona mahindi ni mazuri
Majikolo gaveeye kumaduuma getu,Siku
Galola maduuma gaveeye malahi.,Wlinge watoroke
Madiku,Soma malina haya
Ugalase giruke,Mji wa Luguli iko eneo la mwinuko
Soma ameta yaga,Wanafunzi huhudhuri shule hapo kila siku.
Lugulu neridaala liveeye kukigulu,Hupafagia na pako safi sana.
Vasomi vaduukaaho madiku gosi,Miti iliyopo huvutia.
Veyaaho nahaveeye hanifu ligali,Siku moja afisa wa elimu alitembelea shule.
Misaala jiveeyeho jirolekaa vulahi,Aliwauliza wakamchezea michezo mjzuri.
Lidiku lirala muluuti yaduukaho,Afisa huyo alisema wanafunzi walimchezea vizuri.
Yaavalola nivamukinira vukinu vulahi.,Zama za kale Wamaragoli walipigana vita.
Muluuti oyo yavoola vasoomi vaamukolera vulahi,"Walipigana kwa mikuki, visu ,nyuta na njora."
Kale muno Avalogooli vali nerihe,Walikuwa wanafanya vibaya sana.
Vaakubanira matimu nemivano novuta nevivaavi.,Baadhi yao hawakunusurika.
Vaakola vudamanu ligali,Waliwakata adui wao na kuwaua kabisa.
Avalala kuvo sivahonaa,"Walichukua mashamba na mifugo wao,"
Vaatemagaa vasigu vaavo nivaviita ligali,Jambo hili lilisababisha huzuni nyingi duniani
Vaavugula mirimi nemitugu javo,Anataka anunue
Line liretaa vuveereri vunene muno mukivala,Ni wapi ilikopanda nyanya yaka.
Yenya agule,Nyanya anchuna nyanyan aile.
Wataaga haliki inyaanya yoyo?,Nyama ya nyanya iko kwa uteo.
Mkeere yagulaa inyaanya anyanye.,Wasichana wanachuna.
Inyama yomkeere iveeye kuluderu ney evindi iveeye volo?,Unaona wayo hii?
Avakaana vaagula,Wayo safi na nzuri huonekanaje?
Ulolaa induvatiru yiyi?,Ndimu nzuri iko mtini.
Induvatiru indavu neindahi irolekaa ndi?,Mtu anachuna ile ndimu.
Indimu indahi iveeye kumusaala.,Tunda ni zuri.
Umundu yagulaa indimu yira.,Tunda zuri limepotea.
Litunda liveeye lirahi.,Ni nini watu wanaweza fanya kwa matatunda?
Litunda lirahi liigoti.,Ni nini tunawezakunyia matunda tunayopanda
Nuvulahi avandu vakoleki kumatunda?,Mtu anayechuna matunda huyapeleka wapi?
Nikutaaga matunda kulakoleraki?,Taja umuhimu wa miti?
Umundu wagulaa matunda ula ahira hal?k??,Taja majina ya nyasi inayotambaa mtoni.
Voola uvulahi vuveeye kumisaala.,Hutambaa yaliko makazi ya kumbikumbi.
Tivula amiita govulimu vulandaa mukivanda.,Asikari hukalia nyumba ya kumbikumbi ashikapo zamu kutunza mimea mtoni.
Vulandaa ahekituunda kiveeye.,Yeye ni askali mzuri.
Musikaali yikalaa kukituunda naalinda vidundu mukivanda.,Kondoo wanamfuata Amondo.
Aveeye mulindi mulahi.,Ndimu telezinayu kali.
Amagondi galondaa Amondo.,Kwenye kijikuta
Indimu inderere indulu.,Ni nini unaweza fanya na nyororo?
kuludiiji.,Wasichana ???. wapi  nyororo zao?
Unyala kukoleraki Munyolo?,Taja majina ya ndege wanaopaa angani.
Avakaana haliki minyolo javo?,Popo ni ndege au ni mnyama?
Tivula amiita gamanyonyi gabulukaa yigulu,Ni dege wepi tunaoweza kupatia dawa?
Linyinya nerinyonyi naho nenyama?,"Je, kuna uwezekani kwamba linyolonyolo ni dawa?"
Nimanyonyiki gakunyala kuha lunyaasi?,Bibi mvivu amefunga nyama kwenye magamba ya ndizi.
Linyolonyolo likaveeye lunyaasi kuvandu nabos,Aliweka nyama ilokauka kwa sahani.
